"lemma","poscode","surface"
"pago","3","pago"
"saldo","3","saldo"
"abono","3","abono"
"liquidacion","3","liquidacion"
"liquidar","2","liquidar"
"neto","3","neto"
"saldar","2","saldar"
"monto","3","monto"
"costos","3","costos"
"dinero","3","dinero"
"saldo disponible","3","saldo disponible"
